AnalyteName	Alias	CAS_Number	UnitName	BeneficialUse	Objective	AveragingPeroid	Objective_Language	Evaluation_Guideline	Objective_Ref_Number	Eval_Ref_Number
"Dibromo-3-Chloropropane, 1,2-"	Dibromo--Chloropropane(DBCP)	96128	ug/L	MU	0.2	7	"The California Maximum Contaminant Level for 1, 2-Dibromo-3-Chloropropane(DBCP) incorporated by reference in the Water Quality Control Plan, Lahontan Region is 0.20 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Dibromoethane, 1,2-"	Dibromoethane	106934	ug/L	MU	0.05	7	"The California Maximum Contaminant Level for ethylene dibromide (EDB) incorporated by reference in the Water Quality Control Plan, Lahontan Region is 0.05 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Dichlorobenzene, 1,2-"	Dichlorobenzene	95-50-1	ug/L	CM	17000	4	"The 1, 2-Dichlorobenzene criteria for the protection of human health from consumption of organisms only is 17,000 ug/L (California Toxics Rule, 2000)."		476	
"Dichlorobenzene, 1,2-"	Dichlorobenzene	95-50-1	ug/L	MU	600	7	"The California Maximum Contaminant Level for 1, 2-Dichlorobenzene incorporated by reference in the Water Quality Control Plan, Lahontan Region is 600 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Dichloroethane, 1,2-"	Dichloroethane	107-06-2	ug/L	CM	99	4	"The 1, 2-Dichloroethane criteria for the protection of human health from consumption of organisms only is 99 ug/L (California Toxics Rule, 2000)."		476	
"Dichloroethane, 1,2-"	Dichloroethane	107-06-2	ug/L	MU	0.38	4	"The 1, 2-Dichloroethane criteria for the protection of human health from consumption of water and organisms is 0.38 ug/L (California Toxics Rule, 2000)."		476	
"Dichloropropane, 1,2-"	Dichloropropane	78-87-5	ug/L	CM	39	4	"The 1, 2-Dichloropropane criteria for the protection of human health from consumption of organisms only is 39 ug/L (California Toxics Rule, 2000)."		476	
"Dichloropropane, 1,2-"	Dichloropropane	78-87-5	ug/L	MU	0.52	4	"The 1, 2-Dichloropropane criteria for the protection of human health from the consumption of water and organisms is 0.52 ug/L (California Toxics Rule, 2000)."		476	
"Diphenylhydrazine, 1,2-"	Diphenylhydrazine	Unknown	ug/L	CM	0.54	4	"The 1, 2-Diphenylhydrazine criteria for the protection of human health from consumption of organisms only is 0.54 ug/L (California Toxics Rule, 2000)."		476	
"Diphenylhydrazine, 1,2-"	Diphenylhydrazine	Unknown	ug/L	MU	0.04	4	"The 1, 2-Diphenylhydrazine criteria for the protection of human health from the consumption of water and organisms is 0.04 ug/L (California Toxics Rule, 2000)."		476	
"Dichloroethylene, trans 1,2-"	dichlorethylene	156605	ug/L	CM	140000	4	"The 1, 2-trans-dichlorethylene criteria for the protection of human health from consumption of organisms only is 140,000 ug/L (California Toxics Rule, 2000)."		476	
"Dichloroethylene, trans 1,2-"		156605	ug/L	MU	10	7	"The California Maximum Contamincant Level  1, 2-trans-dichlorethylene incorporated by reference in the Water Quality Control Plan, Lahontan Region is 10 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Dichlorobenzene, 1,3-"	Dichlorobenzene	541-73-1	ug/L	CM	2600	4	"The 1, 3-Dichlorobenzene criteria for the protection of human health from consumption of organisms only is 2,600 ug/L (California Toxics Rule, 2000)."		476	
"Dichlorobenzene, 1,3-"	Dichlorobenzene	541-73-1	ug/L	MU	400	4	"The 1, 3-Dichlorobenzene criteria for the protection of human health from the consumption of water and organisms is 400 ug/L (California Toxics Rule, 2000)."		476	
"Dichloropropene, 1,3-"	Dichloropropene	542-75-6	ug/L	MU	0.5	7	"The California Maximum Contaminant Level for 1, 3-Dichloropropene incorporated by reference in the Water Quality Control Plan, Lahontan Region is 0.5 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Dichlorobenzene, 1,4-"	Dichlorobenzene	106-46-7	ug/L	CM	2600	4	"The 1, 4-Dichlorobenzene criteria for the protection of human health from consumption of organisms only is 2,600 ug/L (California Toxics Rule, 2000)."		476	
"Dichlorobenzene, 1,4-"	Dichlorobenzene	106-46-7	ug/L	MU	5	7	"The California Maximum Contaminant Level for 1, 4-Dichlorobenzene incorporated by reference in the Water Quality Control Plan, Lahontan Region is 5 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"TCDD, 2,3,7,8-"	TetraCDD	1746016	ug/L	CM	0.000000014	4	"The 2, 3, 7, 8 TCDD (Dioxin) criteria for the protection of human health from consumption of organisms only is 0.000000014 ug/L (California Toxics Rule, 2000)."		476	
"TCDD, 2,3,7,8-"	TetraCDD	1746016	ug/L	MU	0.000000013	4	"The 2, 3, 7, 8 TetraCDD criteria for the protection of human health from the consumption of water and organisms is 0.000000013 ug/L (California Toxics Rule, 2000)."		476	
"Trichlorophenoxy)propionic Acid, 2-(2,4,5-"	TP(Silvex)	93721	ug/L	MU	50	7	"The California Maximum Contaminant Level for 2, 4, 5-TP(Silvex) incorporated by reference in the Water Quality Control Plan, Lahontan Region is 50 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Trichlorophenol, 2,4,6-"	Trichlorophenol	88-06-2	ug/L	CM	6.5	4	"The 2, 4, 6-Trichlorophenol criteria for the protection of human health from consumption of organisms only is 6.5 ug/L (California Toxics Rule, 2000)."		476	
"Trichlorophenol, 2,4,6-"	Trichlorophenol	88-06-2	ug/L	MU	2.1	4	"The 2, 4, 6-Trichlorophenol criteria for the protection of human health from the consumption of water and organisms is 2.1 ug/L (California Toxics Rule, 2000)."		476	
"Dichlorophenoxyacetic Acid, 2,4-"		94-75-7	ug/L	CM	1300	7	"The National Recommended Water Quality Criteria for 2,4-D for the protection of human health from the consumtion of organisms only is 1300 ug/L (National Recommended Water Quality Criteria 2016)"		2543	
"Dichlorophenoxyacetic Acid, 2,4-"	D	94-75-7	ug/L	MU	70	7	"The California Maximum Contaminant Level for 2, 4-D incorporated by reference in the Water Quality Control Plan, Lahontan Region is 70 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Dichlorophenol, 2,4-"		120832	ug/L	CM	790	4	"The 2, 4-Dichlorophenol criteria for the protection of human health from the consumption of water only is 790 ug/L (California Toxics Rule, 2000)."		476	
"Dichlorophenol, 2,4-"	Dichlorophenol	120832	ug/L	MU	93	4	"The 2, 4-Dichlorophenol criteria for the protection of human health from the consumption of water and organisms is 93 ug/L (California Toxics Rule, 2000)."		476	
"Dimethylphenol, 2,4-"	Dimethylphenol	105679	ug/L	CM	2300	4	"The 2, 4-Dimethylphenol criteria for the protection of human health from consumption of organisms only is 2,300 ug/L (California Toxics Rule, 2000)."		476	
"Dimethylphenol, 2,4-"	Dimethylphenol	105679	ug/L	MU	540	4	"The 2, 4-Dimethylphenol criteria for the protection of human health from the consumption of water and organisms is 540 ug/L (California Toxics Rule, 2000)."		476	
"Dinitrophenol, 2,4-"	Dinitrophenol	51285	ug/L	CM	14000	4	"The 2, 4-Dinitrophenol criteria for the protection of human health from the consumption of water and organisms is 14000 ug/L (California Toxics Rule, 2000)."		476	
"Dinitrophenol, 2,4-"	Dinitrophenol	51285	ug/L	MU	70	4	"The 2, 4-Dinitrophenol criteria for the protection of human health from the consumption of water and organisms is 70 ug/L (California Toxics Rule, 2000)."		476	
"Dinitrotoluene, 2,4-"	Dinitrotoluene	121142	ug/L	CM	9.1	4	"The 2, 4-Dinitrotoluene criteria for the protection of human health from the consumption of organisms only is 9.1 ug/L (California Toxics Rule, 2000)."		476	
"Dinitrotoluene, 2,4-"	Dinitrotoluene	121142	ug/L	MU	0.11	4	"The 2, 4-Dinitrotoluene criteria for the protection of human health from the consumption of water and organisms is 0.11 ug/L (California Toxics Rule, 2000)."		476	
"Chloronaphthalene, 2-"	Chloronaphthalene	91-58-7	ug/L	CM	4300	4	"The 2-Chloronaphthalene criteria for the protection of human health from consumption of organisms only is 4,300 ug/L (California Toxics Rule, 2000)."		476	
"Chloronaphthalene, 2-"	Chloronaphthalene	91-58-7	ug/L	MU	1700	4	"The 2-Chloronaphthalene criteria for the protection of human health from the consumption of water and organisms is 1,700 ug/L (California Toxics Rule, 2000)."		476	
"Chlorophenol, 2-"	Chlorophenol	95-57-8	ug/L	CM	400	7	"The 2-Chlorophenol criteria for the protection of human health from consumption of organisms only is 400 ug/L (California Toxics Rule, 2000)."		476	
"Chlorophenol, 2-"	Chlorophenol	95-57-8	ug/L	MU	120	4	"The 2-Chlorophenol criteria for the protection of human health from the consumption of water and organisms is 120 ug/L (California Toxics Rule, 2000)."		476	
"Dinitro-2-methylphenol, 4,6-"	Methyl- -dinitrophenol	534521	ug/L	CM	765	7	"The 2-Methyl-4, 6-dinitrophenol criteria for the protection of human health from consumption of organisms only is 14,000 ug/L (California Toxics Rule, 2000)."		476	
"Dinitro-2-methylphenol, 4,6-"	Methyl- -dinitrophenol	534521	ug/L	MU	13.4	4	"The 2-Methyl-4, 6-dinitrophenol criteria for the protection of human health from the consumption of water and organisms is 13.4 ug/L (California Toxics Rule, 2000)."		476	
"Dichlorobenzidine, 3,3'-"	Dichlorobenzidine	91941	ug/L	CM	0.077	4	"The 3, 3-Dichlorobenzidine criteria for the protection of human health from consumption of organisms only is 0.077 ug/L (California Toxics Rule, 2000)."		476	
"Dichlorobenzidine, 3,3'-"	Dichlorobenzidine	91941	ug/L	MU	0.04	4	"The 3, 3-Dichlorobenzidine criteria for the protection of human health from the consumption of water and organisms is 0.04 ug/L (California Toxics Rule, 2000)."		476	
Acenaphthene	Acenaphthene	83-32-9	ug/L	CM	2700	4	"The Acenaphthene criteria for the protection of human health from consumption of organisms only is 2,700 ug/L (California Toxics Rule, 2000)."		476	
Acenaphthene	Acenaphthene	83-32-9	ug/L	MU	1200	4	"The Acenaphthene criteria for the protection of human health from the consumption of water and organisms is 1,200 ug/L (California Toxics Rule, 2000)."		476	
Acrolein	Acrolein	107-02-8	ug/L	CM	780	4	"The Acrolein criteria for the protection of human health from consumption of organisms only is 780 ug/L (California Toxics Rule, 2000)."		476	
Acrolein	Acrolein	107-02-8	ug/L	MU	320	4	"The Acrolein criteria for the protection of human health from the consumption of water and organisms is 320 ug/L (California Toxics Rule, 2000)."		476	
Acrylonitrile	Acrylonitrile	107-13-1	ug/L	CM	0.66	4	"The Acrylonitrile criteria for the protection of human health from consumption of organisms only is 0.66 ug/L (California Toxics Rule, 2000)."		476	
Acrylonitrile	Acrylonitrile	107-13-1	ug/L	MU	0.059	4	"The Acrylonitrile criteria for the protection of human health from the consumption of water and organisms is 0.059 ug/L (California Toxics Rule, 2000)."		476	
Alachlor		15972-60-8	ug/L	MU	2	7	"The California Maximum Contaminant Level for alachlor incorporated by reference in the Water Quality Control Plan, Lahontan Region is 2 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Aldrin	Aldrin	309-00-2	ug/L	CM	0.00014	4	"The Aldrin criteria for the protection of human health from consumption of organisms only is 0.00014 ug/L (California Toxics Rule, 2000)."		476	
Aldrin	Aldrin	309-00-2	ug/L	CO	3	1	"The aldrin criterion maximum concentration to protect aquatic life in freshwater is 3 ug/L (California Toxics Rule, 2000)."		476	
Aldrin	Aldrin	309-00-2	ug/L	ES	1.3	1	"The aldrin criterion maximum concentration to protect aquatic life in saline water is 1.3 ug/L (California Toxics Rule, 2000).  "		476	
Aldrin	Aldrin	309-00-2	ug/L	MA	1.3	1	"The aldrin criterion maximum concentration to protect aquatic life in saline water is 1.3 ug/L (California Toxics Rule, 2000).  "		476	
Aldrin	Aldrin	309-00-2	ug/L	MU	0.00013	4	"The Aldrin criteria for the protection of human health from the consumption of water and organisms is 0.00013 ug/L (California Toxics Rule, 2000)."		476	
Aldrin	Aldrin	309-00-2	ug/L	WA	3	1	"The Aldrin criterion maximum concentration to protect aquatic life in freshwater is 3 ug/L (California Toxics Rule, 2000)."		476	
Aluminum		7429-90-5	ug/L	CO	87	4	"The Aluminum criterion continuous concentration to protect aquatic life in freshwater, expressed in terms of total recoverable metal in the water column is 87 ug/L (National Recommended Water Quality Criteria 2016)."		4321	
Aluminum	Aluminum	7429-90-5	ug/L	MU	200	7	"The California Secondary MCL that is incorporated by reference in the Water Quality Control Plan, Lahontan Region for aluminum is 0.2 mg/L (Water Quality Control Plan, Lahontan Region)."		2430	
Anthracene	Anthracene	120-12-7	ug/L	CM	110000	4	"The Anthracene criteria for the protection of human health from consumption of organisms only is 110,000 ug/L (California Toxics Rule, 2000)."		476	
Anthracene	Anthracene	120-12-7	ug/L	MU	9600	4	"The Anthracene criteria for the protection of human health from the consumption of water and organisms is 9,600 ug/L (California Toxics Rule, 2000)."		476	
Antimony	Antimony	7440-36-0	ug/L	CM	4300	4	"The Antimony criteria for the protection of human health from consumption of organisms only is 4.3 mg/L (California Toxics Rule, 2000)."		476	
Antimony	Antimony	7440-36-0	ug/L	CO	610	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region). The USEPA Lowest Observed Effect Levels (LOEL) criteria for protection of aquatic life include an acute antimony value of 9000 ug/L, a chronic value of 1600 ug/L and a limit for toxicity to algae of 610 ug/L .  This data were compared to the most protective value of 610 ug/L."	The Gold Book states that toxicity to algae occurs at antimony concentrations as low as 610 ug/L.	2430	2529
Antimony	Antimony	7440-36-0	ug/L	MU	6	7	"The California Maximum Contaminant Level for antimony incorporated by reference in the Water Quality Control Plan, Lahontan Region is 0.006 mg/L (Water Quality Control Plan, Lahontan Region)."		2430	
Antimony	Antimony	7440-36-0	ug/L	WA	610	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region). The USEPA Lowest Observed Effect Levels (LOEL) criteria for protection of aquatic life include an acute antimony value of 9000 ug/L, a chronic value of 1600 ug/L and a limit for toxicity to algae of 610 ug/L.  This data were compared to the most protective limit of 610 ug/L."	The Gold Book states that toxicity to algae occurs at antimony concentrations as low as 610 ug/L.	2430	2529
Arsenic	Arsenic	7440-38-2	ug/L	CO	150	4	"The dissolved arsenic criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater for dissolved arsenic is 150 ug/L. The maximum concentration (1-hr average) is 340 ug/L (California Toxics Rule, 2000).  This data was compared to the more protective, 4-Day average of 150 ug/L."		476	
Arsenic	Arsenic	7440-38-2	ug/L	ES	36	4	"The dissolved arsenic criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 36 ug/L (California Toxics Rule, 2000)."		476	
Arsenic	Arsenic	7440-38-2	ug/L	MA	36	4	"The dissolved arsenic criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 36 ug/L (California Toxics Rule, 2000)."		476	
Arsenic	Arsenic	7440-38-2	ug/L	MU	10	7	"The California Maximum Contaminant Level for arsenic incorporated by reference in the Basin Plan is 0.010 mg/L (Water Quality Control Plan, Lahontan Region)."		2430	
Arsenic	Arsenic	7440-38-2	ug/L	WA	150	4	"The dissolved arsenic criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater for dissolved arsenic is 0.150 mg/L (California Toxics Rule, 2000)."		476	
"Arsenic, Inorganic"		7440-38-2	ug/L	CO	150	4	"The dissolved arsenic criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater for dissolved arsenic is 0.150 mg/L (California Toxics Rule, 2000)."		476	
"Arsenic, Inorganic"		7440-38-2	ug/L	ES	36000	4	"The dissolved arsenic criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.036 mg/L (California Toxics Rule, 2000)."		476	
"Arsenic, Inorganic"		7440-38-2	ug/L	MA	36000	4	"The dissolved arsenic criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in saline water is 0.036 mg/L (California Toxics Rule, 2000)."		476	
"Arsenic, Inorganic"		7440-38-2	ug/L	WA	150	4	"The dissolved arsenic criterion continuous concentration (expressed as a 4-day average) to protect aquatic life in freshwater for dissolved arsenic is 0.150 mg/L (California Toxics Rule, 2000)."		476	
Atrazine	Atrazine	1912-24-9	ug/L	MU	1	7	"The California Maximum Contaminant Level for atrazine incorporated by reference in the Water Quality Control Plan, Lahontan Region is 1 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Azinphos Methyl	Azinphos methyl	86-50-0	ug/L	CO	0.01	4	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The National Recommended Water Quality Criteria for Azinphos Methyl (Guthion) expressed as a 4-day average for the protection of freshwater aquatic life is a maximum of 0.01 ug/l.	2430	4321
Azinphos Methyl	Azinphos methyl	86-50-0	ug/L	ES	0.01	4	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The National Recommended Water Quality Criteria for Azinphos Methyl (Guthion) expressed as a 4-day average for the protection of saltwater aquatic life is a maximum of 0.01 ug/l. 	2430	4321
Azinphos Methyl	Azinphos methyl	86-50-0	ug/L	MA	0.01	4	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The National Recommended Water Quality Criteria for Azinphos Methyl (Guthion) expressed as a 4-day average for the protection of saltwater aquatic life is a maximum of 0.01 ug/l. 	2430	4321
Azinphos Methyl	Azinphos methyl	86-50-0	ug/L	WA	0.01	4	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The National Recommended Water Quality Criteria for Azinphos Methyl (Guthion) expressed as a 4-day average for the protection of freshwater aquatic life is a maximum of 0.01 ug/l.	2430	4321
Barium	Barium	7440-39-3	ug/L	MU	1000	7	"The California Maximum Contaminant Level for barium incorporated by reference in the Water Quality Control Plan, Lahontan Region is 1 mg/L."		2430	
Bentazon	Bentazon	25057-89-0	ug/L	MU	18	7	"The California Maximum Contaminant Level for Bentazon incorporated by reference in the Water Quality Control Plan, Lahontan Region is 18 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Benzene	Benzene	71-43-2	ug/L	CM	71	4	"The Benzene criteria for the protection of human health from consumption of organisms only is 71 ug/L (California Toxics Rule, 2000)."		476	
Benzene	Benzene	71-43-2	ug/L	MU	1	7	"The California Maximum Contaminant Level for Benzene incorporated by reference in the Water Quality Control Plan, Lahontan Region is 1 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
Benzidine	Benzidine	92-87-5	ug/L	CM	0.00054	4	"The Benzidine criteria for the protection of human health from consumption of organisms only is 0.00054 ug/L (California Toxics Rule, 2000)."		476	
Benzidine	Benzidine	92-87-5	ug/L	MU	0.00012	4	"The Benzidine criteria for the protection of human health from the consumption of water and organisms is 0.00012 ug/L (California Toxics Rule, 2000)."		476	
Benz(a)anthracene	Benzo(a)anthracene	56-55-3	ug/L	CM	0.049	4	"The Benzo(a)anthracene criteria for the protection of human health from consumption of organisms only is 0.049 ug/L (California Toxics Rule, 2000)."		476	
Benz(a)anthracene	Benzo(a)anthracene	56-55-3	ug/L	MU	0.0044	4	"The Benzo(a)anthracene criteria for the protection of human health from the consumption of water and organisms is 0.0044 ug/L (California Toxics Rule, 2000)."		476	
Benzo(a)pyrene	Benzo(a)Pyrene	50-32-8	ug/L	CM	0.049	4	"The Benzo(a)Pyrene criteria for the protection of human health from consumption of organisms only is 0.049 ug/L (California Toxics Rule, 2000)."		476	
Benzo(a)pyrene	Benzo(a)Pyrene	50-32-8	ug/L	MU	0.0044	4	"The Benzo(a)Pyrene criteria for the protection of human health from the consumption of water and organisms is 0.0044 ug/L (California Toxics Rule, 2000)."		476	
Benzo(b)fluoranthene	Benzo(b)Fluoranthene	56832-73-6	ug/L	CM	0.049	4	"The Benzo(b)fluoranthene criteria for the protection of human health from consumption of organisms only is 0.049 ug/L (California Toxics Rule, 2000)."		476	
Benzo(b)fluoranthene	Benzo(b)Fluoranthene	56832-73-6	ug/L	MU	0.0044	4	"The Benzo(b)Fluoranthene criteria for the protection of human health from the consumption of water and organisms is 0.0044 ug/L (California Toxics Rule, 2000)."		476	
Benzo(k)fluoranthene	Benzo(k)Fluoranthene	207-08-9	ug/L	CM	0.049	4	"The Benzo(k)Fluoranthene criteria for the protection of human health from consumption of organisms only is 0.049 ug/L (California Toxics Rule, 2000)."		476	
Benzo(k)fluoranthene	Benzo(k)Fluoranthene	207-08-9	ug/L	MU	0.0044	4	"The Benzo(k)Fluoranthene criteria for the protection of human health from the consumption of water and organisms is 0.0044 ug/L (California Toxics Rule, 2000)."		476	
Beryllium	Beryllium	7440-41-7	ug/L	CO	5.3	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The Gold Book states that beryllium chronic toxicity to freshwater aquatic life occur at concentrations as low as 5.3 ug/L.	2430	2529
Beryllium	Beryllium	7440-41-7	ug/L	MU	4	7	"The California Maximum Contaminant Level for beryllium incorporated by reference in the Water Quality Control Plan, Lahontan Region is 0.004 mg/L."		2430	
Beryllium	Beryllium	7440-41-7	ug/L	WA	5.3	7	"All waters shall be maintained free of toxic substances in concentrations which are toxic to, or which produce detrimental physiological responses in, human, plant, animal, or aquatic life (Water Quality Control Plan, Lahontan Region)."	The Gold Book states that beryllium chronic toxicity to freshwater aquatic life occur at concentrations as low as 5.3 ug/L.	2430	2529
"HCH, alpha-"	BHC alpha	319-84-6	ug/L	CM	0.013	4	"The BHC, alpha criteria for the protection of human health from consumption of organisms only is 0.013 ug/L (California Toxics Rule, 2000)."		476	
"HCH, alpha-"	BHC alpha	319-84-6	ug/L	MU	0.0039	4	"The BHC, alpha criteria for the protection of human health from the consumption of water and organisms is 0.0039 ug/L (California Toxics Rule, 2000)."		476	
"HCH, beta-"	BHC beta	319-85-7	ug/L	CM	0.046	4	"The BHC, beta criteria for the protection of human health from consumption of organisms only is 0.046 ug/L (California Toxics Rule, 2000)."		476	
"HCH, beta-"	BHC beta	319-85-7	ug/L	MU	0.014	4	"The BHC, beta criteria for the protection of human health from the consumption of water and organisms is 0.014 ug/L (California Toxics Rule, 2000)."		476	
"HCH, gamma-"	HCH Gamma	58-89-9	ug/L	CM	0.063	4	"The BCH, Gamma (Lindane) criterion for the protection of human health from the consumption of organisms is 0.063 ug/L (California Toxics Rule, 2000).  "		476	
"HCH, gamma-"	BHC gamma(Lindane)	58-89-9	ug/L	CO	0.95	1	"The gamma-BHC (Lindane) criterion maximum concentration to protect aquatic life in freshwater is 0.95 ug/L (California Toxics Rule, 2000)."		476	
"HCH, gamma-"	BHC gamma(Lindane)	58-89-9	ug/L	ES	0.16	1	"The gamma-BHC (Lindane) criterion maximum concentration to protect aquatic life in saline water is 0.16 ug/L (California Toxics Rule, 2000).  "		476	
"HCH, gamma-"	BHC gamma(Lindane)	58-89-9	ug/L	MA	0.16	1	"The gamma-BHC (Lindane) criterion maximum concentration to protect aquatic life in saline water is 0.16 ug/L (California Toxics Rule, 2000).  "		476	
"HCH, gamma-"	HCH Gamma	58-89-9	ug/L	MU	0.019	4	"The BCH, Gamma (Lindane) criterion for the protection of human health from the consumption of water and organisms is 0.019 ug/L (California Toxics Rule, 2000).  "		476	
"HCH, gamma-"	HCH Gamma	58-89-9	ug/L	WA	0.95	1	"The BCH, Gamma (Lindane) criterion maximum concentration (expressed as a 1-hour average) to protect aquatic life in freshwater is 0.95 ug/L (California Toxics Rule, 2000).  "		476	
Bifenthrin		82657-04-3	ug/L	CO	0.15	7	No individual pesticide or combination of pesticides shall be present in concentrations that adversely affect beneficial uses.	"The genus mean acute value for rainbow trout (O. mykiss) is 0.15 ug/L (DFG 00-6, 2000)."	2430	3734
Bifenthrin		82657-04-3	ug/L	ES	0.00397	7	No individual pesticide or combination of pesticides shall be present in concentrations that adversely affect beneficial uses.	"The genus mean acute value for a mysid (Mysidopsis bahia) of 0.0037 ug/L (DFG 00-6, 2000)."	2430	3734
Bifenthrin		82657-04-3	ug/L	MA	0.00397	7	No individual pesticide or combination of pesticides shall be present in concentrations that adversely affect beneficial uses.	"The genus mean acute value for a mysid (Mysidopsis bahia) of 0.0037 ug/L (DFG 00-6, 2000)."	2430	3734
Bifenthrin		82657-04-3	ug/L	WA	0.15	7	No individual pesticide or combination of pesticides shall be present in concentrations that adversely affect beneficial uses.	"The genus mean acute value for rainbow trout (O. mykiss) is 0.15 ug/L (DFG 00-6, 2000)."	2430	3734
Bis(2-chloroethyl)ether	Chloroethyl)ether	111-44-4	ug/L	CM	1.4	4	"The bis(2-Chloroethyl)ether criteria for the protection of human health from consumption of organisms only is 1.4 ug/L (California Toxics Rule, 2000)."		476	
Bis(2-chloroethyl)ether	Chloroethyl)ether	111-44-4	ug/L	MU	0.031	4	"The bis(2-Chloroethyl)ether criteria for the protection of human health from the consumption of water and organisms is 0.031 ug/L (California Toxics Rule, 2000)."		476	
